month,line,division,day_type,num_on_time_trips,num_sched_trips,terminal_on_time_performance
2015-01,1,A DIVISION,1,6874,9017,0.762337806
2015-01,2,A DIVISION,1,2920,6175,0.472874494
2015-01,3,A DIVISION,1,4004,5834,0.686321563
2015-01,4,A DIVISION,1,3692,7623,0.484323757
2015-01,5,A DIVISION,1,3203,6491,0.493452473
2015-01,6,A DIVISION,1,5967,11509,0.518463811
2015-01,7,A DIVISION,1,10595,12322,0.859844181
2015-01,S 42nd,A DIVISION,1,11592,11834,0.979550448
2015-01,A,B DIVISION,1,4956,7327,0.676402347
2015-01,B,B DIVISION,1,3164,4120,0.767961165
2015-01,C,B DIVISION,1,3359,4000,0.83975
2015-01,D,B DIVISION,1,4022,5288,0.760590015
2015-01,E,B DIVISION,1,5453,7894,0.690777806
2015-01,F,B DIVISION,1,4597,7939,0.579040181
2015-01,G,B DIVISION,1,3961,5664,0.699329096
2015-01,JZ,B DIVISION,1,4374,5444,0.803453343
2015-01,L,B DIVISION,1,9109,9808,0.928731648
2015-01,M,B DIVISION,1,3761,5315,0.707619944
2015-01,N,B DIVISION,1,3601,5259,0.684730937
2015-01,Q,B DIVISION,1,3737,5348,0.698765894
2015-01,R,B DIVISION,1,3506,5670,0.618342152
2015-01,S Fkln,B DIVISION,1,2337,2354,0.99277825
2015-01,S Rock,B DIVISION,1,3203,3358,0.953841572
2015-01,Systemwide,Systemwide,1,111987,155593,0.719743176
2015-02,1,A DIVISION,1,6067,8579,0.70719198
2015-02,2,A DIVISION,1,2185,5901,0.370276224
2015-02,3,A DIVISION,1,3300,5618,0.58739765
2015-02,4,A DIVISION,1,3061,7201,0.42507985
2015-02,5,A DIVISION,1,2489,6172,0.403272845
2015-02,6,A DIVISION,1,4255,10630,0.40028222
2015-02,7,A DIVISION,1,9057,11727,0.772320287
2015-02,S 42nd,A DIVISION,1,11149,11192,0.99615797
2015-02,A,B DIVISION,1,4390,6970,0.629842181
2015-02,B,B DIVISION,1,2678,3914,0.684210526
2015-02,C,B DIVISION,1,2983,3800,0.785
2015-02,D,B DIVISION,1,3404,5063,0.672328659
2015-02,E,B DIVISION,1,5197,7512,0.691826411
2015-02,F,B DIVISION,1,3963,7465,0.530877428
2015-02,G,B DIVISION,1,3735,5371,0.695401229
2015-02,JZ,B DIVISION,1,3750,5193,0.722125939
2015-02,L,B DIVISION,1,8216,9505,0.864387165
2015-02,M,B DIVISION,1,3324,5054,0.657696874
2015-02,N,B DIVISION,1,3104,5054,0.614166996
2015-02,Q,B DIVISION,1,3433,5089,0.674592258
2015-02,R,B DIVISION,1,3103,5371,0.577732266
2015-02,S Fkln,B DIVISION,1,2223,2242,0.991525424
2015-02,S Rock,B DIVISION,1,3009,3195,0.941784038
2015-02,Systemwide,Systemwide,1,98075,147818,0.663484826
2015-03,1,A DIVISION,1,7435,9929,0.748816598
2015-03,2,A DIVISION,1,3138,7213,0.43504783
2015-03,3,A DIVISION,1,4015,6304,0.636897208
2015-03,4,A DIVISION,1,3218,8076,0.398464586
2015-03,5,A DIVISION,1,2776,7145,0.388523443
2015-03,6,A DIVISION,1,4931,12246,0.402662094
2015-03,7,A DIVISION,1,10949,13571,0.806793899
2015-03,S 42nd,A DIVISION,1,13226,13290,0.995184349
2015-03,A,B DIVISION,1,5271,8040,0.655597015
2015-03,B,B DIVISION,1,3605,4525,0.796685083
2015-03,C,B DIVISION,1,3521,4400,0.800227273
2015-03,D,B DIVISION,1,4460,5793,0.769894701
2015-03,E,B DIVISION,1,6199,8692,0.713184538
2015-03,F,B DIVISION,1,4844,8450,0.573254438
2015-03,G,B DIVISION,1,3856,6093,0.632857377
2015-03,JZ,B DIVISION,1,4816,5996,0.803202135
2015-03,L,B DIVISION,1,10286,11187,0.919460088
2015-03,M,B DIVISION,1,3945,5852,0.674128503
2015-03,N,B DIVISION,1,4222,5852,0.721462748
2015-03,Q,B DIVISION,1,4474,5891,0.759463589
2015-03,R,B DIVISION,1,3612,6248,0.578104994
2015-03,S Fkln,B DIVISION,1,2572,2596,0.990755008
2015-03,S Rock,B DIVISION,1,3530,3701,0.953796271
2015-03,Systemwide,Systemwide,1,118901,171090,0.694961716
2015-04,1,A DIVISION,1,7690,9932,0.774265002
2015-04,2,A DIVISION,1,3290,7054,0.466402041
2015-04,3,A DIVISION,1,4494,6704,0.670346062
2015-04,4,A DIVISION,1,3541,8080,0.438242574
2015-04,5,A DIVISION,1,3237,7332,0.441489362
2015-04,6,A DIVISION,1,5109,12252,0.416993144
2015-04,7,A DIVISION,1,10597,13293,0.797186489
2015-04,S 42nd,A DIVISION,1,12780,12875,0.992621359
2015-04,A,B DIVISION,1,5750,8070,0.712515489
2015-04,B,B DIVISION,1,3694,4532,0.815092674
2015-04,C,B DIVISION,1,3737,4353,0.858488399
2015-04,D,B DIVISION,1,4568,5826,0.784071404
2015-04,E,B DIVISION,1,6230,8696,0.716421343
2015-04,F,B DIVISION,1,5582,8962,0.622852042
2015-04,G,B DIVISION,1,3999,6164,0.648767034
2015-04,JZ,B DIVISION,1,4770,5998,0.795265088
2015-04,L,B DIVISION,1,9972,10792,0.924017791
2015-04,M,B DIVISION,1,4247,5852,0.725734792
2015-04,N,B DIVISION,1,4294,5882,0.730023801
2015-04,Q,B DIVISION,1,4613,5892,0.782926001
2015-04,R,B DIVISION,1,3759,6248,0.601632522
2015-04,S Fkln,B DIVISION,1,2584,2588,0.998454405
2015-04,S Rock,B DIVISION,1,3556,3700,0.961081081
2015-04,Systemwide,Systemwide,1,122093,171077,0.713672791
2015-05,1,A DIVISION,1,7104,9031,0.786623851
2015-05,2,A DIVISION,1,2740,6185,0.443007276
2015-05,3,A DIVISION,1,4087,6092,0.670879842
2015-05,4,A DIVISION,1,3058,7348,0.416167665
2015-05,5,A DIVISION,1,2663,6624,0.402022947
2015-05,6,A DIVISION,1,5603,11210,0.499821588
2015-05,7,A DIVISION,1,10280,12345,0.8327258
2015-05,S 42nd,A DIVISION,1,11295,11640,0.970360825
2015-05,A,B DIVISION,1,4963,7369,0.673497082
2015-05,B,B DIVISION,1,3178,4120,0.771359223
2015-05,C,B DIVISION,1,3177,4000,0.79425
2015-05,D,B DIVISION,1,3979,5297,0.751179913
2015-05,E,B DIVISION,1,5281,7908,0.667804755
2015-05,F,B DIVISION,1,4630,7789,0.59442804
2015-05,G,B DIVISION,1,3741,5603,0.66767803
2015-05,JZ,B DIVISION,1,3935,5454,0.721488816
2015-05,L,B DIVISION,1,9561,10036,0.952670387
2015-05,M,B DIVISION,1,3614,5320,0.679323308
2015-05,N,B DIVISION,1,3450,5320,0.648496241
2015-05,Q,B DIVISION,1,3922,5732,0.68422889
2015-05,R,B DIVISION,1,3142,5680,0.553169014
2015-05,S Fkln,B DIVISION,1,2360,2360,1
2015-05,S Rock,B DIVISION,1,3150,3334,0.944811038
2015-05,Systemwide,Systemwide,1,108913,155797,0.699069944
2015-06,1,A DIVISION,1,8011,9929,0.806828482
2015-06,2,A DIVISION,1,2916,6834,0.426690079
2015-06,3,A DIVISION,1,4469,6508,0.686693301
2015-06,4,A DIVISION,1,3566,8271,0.431144964
2015-06,5,A DIVISION,1,2884,7145,0.403638908
2015-06,6,A DIVISION,1,5923,12491,0.474181411
2015-06,7,A DIVISION,1,11459,13571,0.844374033
2015-06,S 42nd,A DIVISION,1,12594,12870,0.978554779
2015-06,A,B DIVISION,1,5429,8069,0.672821911
2015-06,B,B DIVISION,1,3486,4532,0.769196823
2015-06,C,B DIVISION,1,3502,4400,0.795909091
2015-06,D,B DIVISION,1,4276,5825,0.734077253
2015-06,E,B DIVISION,1,6265,8692,0.720777727
2015-06,F,B DIVISION,1,5033,8374,0.601026988
2015-06,G,B DIVISION,1,3888,6165,0.630656934
2015-06,JZ,B DIVISION,1,4071,6005,0.677935054
2015-06,L,B DIVISION,1,9816,10843,0.905284515
2015-06,M,B DIVISION,1,4096,5852,0.699931647
2015-06,N,B DIVISION,1,3769,5852,0.644053315
2015-06,Q,B DIVISION,1,4162,5891,0.706501443
2015-06,R,B DIVISION,1,3475,6248,0.556177977
2015-06,S Fkln,B DIVISION,1,2593,2596,0.998844376
2015-06,S Rock,B DIVISION,1,3553,3701,0.960010808
2015-06,Systemwide,Systemwide,1,119236,170664,0.698659354
2015-07,1,A DIVISION,1,7293,9932,0.734293194
2015-07,2,A DIVISION,1,2868,6929,0.413912541
2015-07,3,A DIVISION,1,4310,6564,0.656611822
2015-07,4,A DIVISION,1,3456,8084,0.427511133
2015-07,5,A DIVISION,1,2739,7078,0.386973721
2015-07,6,A DIVISION,1,6118,12248,0.499510124
2015-07,7,A DIVISION,1,11379,13576,0.838170301
2015-07,S 42nd,A DIVISION,1,12801,12872,0.994484152
2015-07,A,B DIVISION,1,5336,8228,0.648517258
2015-07,B,B DIVISION,1,3435,4532,0.757943513
2015-07,C,B DIVISION,1,3407,4400,0.774318182
2015-07,D,B DIVISION,1,4242,5826,0.728115345
2015-07,E,B DIVISION,1,5962,8696,0.685602576
2015-07,F,B DIVISION,1,4783,8380,0.570763723
2015-07,G,B DIVISION,1,3973,6164,0.644548994
2015-07,JZ,B DIVISION,1,4460,6010,0.742096506
2015-07,L,B DIVISION,1,9774,10802,0.904832438
2015-07,M,B DIVISION,1,4090,5852,0.698906357
2015-07,N,B DIVISION,1,4230,6221,0.679954991
2015-07,Q,B DIVISION,1,4108,5892,0.697216565
2015-07,R,B DIVISION,1,3740,6248,0.598591549
2015-07,S Fkln,B DIVISION,1,2587,2596,0.996533128
2015-07,S Rock,B DIVISION,1,3523,3700,0.952162162
2015-07,Systemwide,Systemwide,1,118614,170830,0.694339402
2015-08,1,A DIVISION,1,7575,9477,0.799303577
2015-08,2,A DIVISION,1,2648,6533,0.405326802
2015-08,3,A DIVISION,1,3880,6046,0.641746609
2015-08,4,A DIVISION,1,3430,7713,0.444703747
2015-08,5,A DIVISION,1,2361,6789,0.347768449
2015-08,6,A DIVISION,1,6547,11683,0.560386887
2015-08,7,A DIVISION,1,11418,12953,0.881494634
2015-08,S 42nd,A DIVISION,1,12764,12843,0.993848789
2015-08,A,B DIVISION,1,5204,7702,0.675668657
2015-08,B,B DIVISION,1,3386,4326,0.7827092
2015-08,C,B DIVISION,1,3549,4200,0.845
2015-08,D,B DIVISION,1,4083,5470,0.746435101
2015-08,E,B DIVISION,1,5943,8296,0.716369335
2015-08,F,B DIVISION,1,4607,7992,0.576451451
2015-08,G,B DIVISION,1,3940,5885,0.669498726
2015-08,JZ,B DIVISION,1,4421,5738,0.770477518
2015-08,L,B DIVISION,1,9867,10603,0.930585683
2015-08,M,B DIVISION,1,3855,5586,0.690118153
2015-08,N,B DIVISION,1,3733,5586,0.668277837
2015-08,Q,B DIVISION,1,4245,5623,0.754935088
2015-08,R,B DIVISION,1,3798,5964,0.636820926
2015-08,S Fkln,B DIVISION,1,2469,2478,0.996368039
2015-08,S Rock,B DIVISION,1,3380,3533,0.956694028
2015-08,Systemwide,Systemwide,1,117103,163019,0.71833958
2015-09,1,A DIVISION,1,7435,9451,0.786689239
2015-09,2,A DIVISION,1,2957,6517,0.453736382
2015-09,3,A DIVISION,1,4255,6398,0.665051579
2015-09,4,A DIVISION,1,3453,7875,0.43847619
2015-09,5,A DIVISION,1,2602,6822,0.381413075
2015-09,6,A DIVISION,1,5278,11725,0.450149254
2015-09,7,A DIVISION,1,10554,12963,0.814163388
2015-09,S 42nd,A DIVISION,1,12197,12291,0.992352128
2015-09,A,B DIVISION,1,4993,8030,0.621793275
2015-09,B,B DIVISION,1,3514,4326,0.812297735
2015-09,C,B DIVISION,1,3062,4200,0.729047619
2015-09,D,B DIVISION,1,4124,5562,0.741459907
2015-09,E,B DIVISION,1,5397,8304,0.649927746
2015-09,F,B DIVISION,1,4541,8004,0.567341329
2015-09,G,B DIVISION,1,4066,6018,0.675639747
2015-09,JZ,B DIVISION,1,4026,5736,0.701882845
2015-09,L,B DIVISION,1,10082,10644,0.947200301
2015-09,M,B DIVISION,1,4138,5586,0.740780523
2015-09,N,B DIVISION,1,3719,5586,0.665771572
2015-09,Q,B DIVISION,1,4395,5625,0.781333333
2015-09,R,B DIVISION,1,3755,5964,0.629610999
2015-09,S Fkln,B DIVISION,1,2475,2478,0.998789346
2015-09,S Rock,B DIVISION,1,3385,3514,0.963289698
2015-09,Systemwide,Systemwide,1,114403,163619,0.699203638
2015-10,1,A DIVISION,1,7194,9932,0.724325413
2015-10,2,A DIVISION,1,2794,6804,0.4106408
2015-10,3,A DIVISION,1,4131,6704,0.616199284
2015-10,4,A DIVISION,1,3411,8264,0.412754114
2015-10,5,A DIVISION,1,2561,7106,0.360399662
2015-10,6,A DIVISION,1,4617,12248,0.376959504
2015-10,7,A DIVISION,1,11688,13576,0.860931055
2015-10,S 42nd,A DIVISION,1,12635,12873,0.981511691
2015-10,A,B DIVISION,1,5203,8323,0.625135168
2015-10,B,B DIVISION,1,3648,4532,0.80494263
2015-10,C,B DIVISION,1,3219,4362,0.737964237
2015-10,D,B DIVISION,1,4274,5826,0.733607964
2015-10,E,B DIVISION,1,5555,8696,0.638799448
2015-10,F,B DIVISION,1,4493,8380,0.536157518
2015-10,G,B DIVISION,1,4029,6164,0.653634004
2015-10,JZ,B DIVISION,1,3972,6010,0.660898502
2015-10,L,B DIVISION,1,9713,10802,0.899185336
2015-10,M,B DIVISION,1,4038,5852,0.690020506
2015-10,N,B DIVISION,1,3925,5852,0.670710868
2015-10,Q,B DIVISION,1,4357,5892,0.739477257
2015-10,R,B DIVISION,1,3670,6248,0.587387964
2015-10,S Fkln,B DIVISION,1,2566,2596,0.98844376
2015-10,S Rock,B DIVISION,1,3533,3668,0.963195202
2015-10,Systemwide,Systemwide,1,115226,170710,0.674980962
2015-11,1,A DIVISION,1,6798,9025,0.753240997
2015-11,2,A DIVISION,1,2576,6180,0.416828479
2015-11,3,A DIVISION,1,3878,5896,0.657734057
2015-11,4,A DIVISION,1,3205,7504,0.427105544
2015-11,5,A DIVISION,1,2524,6495,0.38860662
2015-11,6,A DIVISION,1,5032,11316,0.444680099
